U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:44.705
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:44.798
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:44.891
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:45.001
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:45.093
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:45.203
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:45.300
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:45.394
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:45.504
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:45.597
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:45.692
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:45.800
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:45.898
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:45.991
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:46.100
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:46.193
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:46.304
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:46.399
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:46.493
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:46.603
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:46.697
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:46.791
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:46.901
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:46.993
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:47.101
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:47.195
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:47.302
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:47.395
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:47.503
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:47.595
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:47.704
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:47.797
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:47.905
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:47.998
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:48.091
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:48.200
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:48.293
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:48.402
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:48.495
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:48.604
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:48.696
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:48.803
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:48.896
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:49.005
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:49.096
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:49.203
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:49.296
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:49.404
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:49.491
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:49.591
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:49.691
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:49.791
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:49.891
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:49.991
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:50.091
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:50.191
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:50.291
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:50.391
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:50.491
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:50.591
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:50.691
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:50.791
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:50.891

