U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:06.691
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:06.791
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:06.891
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:06.991
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:07.092
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:07.191
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:07.291
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:07.391
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:07.491
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:07.591
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:07.691
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:07.791
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:07.891
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:07.991
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:08.091
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:08.191
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:08.291
