Time_ms,Target_RPM,Actual_RPM
11104,3000,3000.00
11154,3000,3100.00
11204,3000,3100.00
11254,3000,3100.00
11304,3000,3100.00
11354,3000,3000.00
11404,3000,3100.00
11454,3000,3100.00
11504,3000,3200.00
11554,3000,3100.00
11604,3000,3100.00
11654,3000,3100.00
11704,3000,3100.00
11754,3000,3100.00
11804,3000,3100.00
11854,3000,3100.00
11904,3000,3100.00
11954,3000,3100.00
12004,3000,3100.00
12054,3000,3100.00
12104,3000,3200.00
12154,3000,3100.00
12204,3000,3000.00
12254,3000,3100.00
12304,3000,3100.00
12354,3000,3200.00
12404,3000,3100.00
12454,3000,3100.00
12504,3000,3100.00
12554,3000,3100.00
12604,3000,3100.00
12654,3000,3100.00
12704,3000,3100.00
12754,3000,3100.00
12804,3000,3100.00
12854,3000,3100.00
12904,3000,3100.00
12954,3000,3100.00
13004,3000,3100.00
13054,3000,3200.00
13104,3000,3000.00
13154,3000,3100.00
13204,3000,3200.00
13254,3000,3100.00
13304,3000,3100.00
13355,3000,3100.00
13405,3000,3100.00
13455,3000,3100.00
13505,3000,3200.00
13555,3000,3100.00
13605,3000,3100.00
13655,3000,3000.00
13705,3000,3200.00
13755,3000,3100.00
13805,3000,3100.00
13855,3000,3100.00
13905,3000,3100.00
13955,3000,3100.00
14005,3000,3100.00
14055,3000,3100.00
14105,3000,3100.00
14155,3000,3100.00
14205,3000,3100.00
14255,3000,3100.00
14305,3000,3100.00
14355,3000,3100.00
14405,3000,3100.00
14455,3000,3100.00
14505,3000,3200.00
14555,3000,3000.00
14605,3000,3100.00
14655,3000,3100.00
14705,3000,3200.00
14755,3000,3100.00
14806,3000,3100.00
14856,3000,3100.00
14906,3000,3100.00
14956,3000,3100.00
15006,500,3200.00
15056,500,3100.00
15106,500,3000.00
15156,500,3000.00
15206,500,3000.00
15256,500,2800.00
15306,500,2700.00
15356,500,2600.00
15406,500,2500.00
15456,500,2300.00
15506,500,2200.00
15556,500,2000.00
15606,500,1900.00
15656,500,1800.00
15706,500,1600.00
15756,500,1400.00
15806,500,1300.00
15856,500,1200.00
15906,500,900.00
15956,500,900.00
16006,500,700.00
16056,500,700.00
16106,500,600.00
16156,500,600.00
16206,500,600.00
16256,500,500.00
16306,500,500.00
16356,500,500.00
16406,500,500.00
16456,500,500.00
16506,500,500.00
16556,500,500.00
16606,500,400.00
16656,500,500.00
16706,500,500.00
16756,500,500.00
16806,500,400.00
16856,500,500.00
16906,500,500.00
16956,500,400.00
17006,500,500.00
17056,500,500.00
17106,500,500.00
17156,500,400.00
17206,500,500.00
17256,500,500.00
17306,500,400.00
17356,500,500.00
17406,500,500.00
17456,500,400.00
17506,500,500.00
17556,500,500.00
17606,500,500.00
17656,500,400.00
17707,500,500.00
17757,500,500.00
17807,500,400.00
17857,500,500.00
17907,500,500.00
17957,500,500.00
18007,500,400.00
18057,500,500.00
18107,500,500.00
18157,500,400.00
18207,500,500.00
18257,500,500.00
18307,500,400.00
18357,500,500.00
18407,500,500.00
18457,500,400.00
18507,500,500.00
18557,500,500.00
18607,500,400.00
18657,500,500.00
18707,500,500.00
18757,500,500.00
18807,500,400.00
18857,500,500.00
18907,500,500.00
18957,500,400.00
19007,500,500.00
19057,500,500.00
19107,500,500.00
19158,500,400.00
19208,500,500.00
19258,500,500.00
19308,500,400.00
19358,500,500.00
19408,500,500.00
19458,500,400.00
19508,500,500.00
19558,500,500.00
19608,500,500.00
19658,500,400.00
19708,500,500.00
19758,500,500.00
19808,500,400.00
19858,500,500.00
19908,500,500.00
19958,500,400.00
20008,500,500.00
20058,500,500.00
20108,500,400.00
20158,500,500.00
20208,500,500.00
20258,500,500.00
20308,500,400.00
20358,500,500.00
20408,500,500.00
20458,500,400.00
20508,500,500.00
20558,500,500.00
20608,500,400.00
20658,500,500.00
20708,500,500.00
20758,500,500.00
20808,500,400.00
20858,500,500.00
20908,500,500.00
20958,500,400.00
21008,500,500.00
21058,500,500.00
21108,500,400.00
21158,500,500.00
21208,500,500.00
21258,500,400.00
21308,500,500.00
21358,500,500.00
21408,500,500.00
21458,500,400.00
21508,500,500.00
21558,500,500.00
21608,500,400.00
21658,500,500.00
21708,500,500.00
21758,500,400.00
21808,500,500.00
21858,500,500.00
21908,500,400.00
21958,500,500.00
22008,500,500.00
22059,500,500.00
22109,500,400.00
22159,500,500.00
22209,500,500.00
22259,500,500.00
22309,500,400.00
22359,500,500.00
22409,500,400.00
22459,500,500.00
22509,500,500.00
22559,500,500.00
22609,500,400.00
22659,500,500.00
22709,500,500.00
22759,500,400.00
22809,500,500.00
22859,500,500.00
22909,500,500.00
22959,500,400.00
23009,500,500.00
23059,500,500.00
23109,500,400.00
23159,500,500.00
23209,500,500.00
23259,500,400.00
23309,500,500.00
23359,500,500.00
23409,500,500.00
23459,500,400.00
23510,500,500.00
23560,500,500.00
23610,500,400.00
23660,500,500.00
23710,500,500.00
23760,500,400.00
23810,500,500.00
23860,500,500.00
23910,500,400.00
23960,500,500.00
24010,500,500.00
24060,500,500.00
24110,500,400.00
24160,500,500.00
24210,500,500.00
24260,500,400.00
24310,500,500.00
24360,500,500.00
24410,500,400.00
24460,500,500.00
24510,500,500.00
24560,500,500.00
24610,500,400.00
24660,500,500.00
24710,500,500.00
24760,500,400.00
24810,500,500.00
24860,500,500.00
24910,500,400.00
24960,500,500.00
25010,0,500.00
25060,0,500.00
25110,0,400.00
25160,0,400.00
25210,0,400.00
25260,0,200.00
25310,0,200.00
25360,0,100.00
25410,0,200.00
25460,0,0.00
25510,0,100.00
25560,0,0.00
25610,0,100.00
25660,0,0.00
25710,0,0.00
25760,0,0.00
25810,0,0.00
25860,0,0.00
25910,0,0.00
25960,0,0.00
26010,0,0.00
26060,0,0.00
26110,0,0.00
26160,0,0.00
26210,0,0.00
26260,0,0.00
26310,0,0.00
26360,0,0.00
26411,0,0.00
26461,0,0.00
26511,0,0.00
26561,0,0.00
26611,0,0.00
26661,0,0.00
26711,0,0.00
26761,0,0.00
26811,0,0.00
26861,0,0.00
26911,0,0.00
26961,0,0.00
27011,0,0.00
27061,0,0.00
27111,0,0.00
27161,0,0.00
27211,0,0.00
27261,0,0.00
27311,0,0.00
27361,0,0.00
27411,0,0.00
27461,0,0.00
27511,0,0.00
27561,0,0.00
27611,0,0.00
27661,0,0.00
27711,0,0.00
27761,0,0.00
27811,0,0.00
27862,0,0.00
27912,0,0.00
27962,0,0.00
28012,0,0.00
28062,0,0.00
28112,0,0.00
28162,0,0.00
28212,0,0.00
28262,0,0.00
28312,0,0.00
28362,0,0.00
28412,0,0.00
28462,0,0.00
28512,0,0.00
28562,0,0.00
28612,0,0.00
28662,0,0.00
28712,0,0.00
28762,0,0.00
28812,0,0.00
28862,0,0.00
28912,0,0.00
28962,0,0.00
29012,0,0.00
29062,0,0.00
29112,0,0.00
29162,0,0.00
29212,0,0.00
29262,0,0.00
29312,0,0.00
29362,0,0.00
29412,0,0.00
29462,0,0.00
29512,0,0.00
29562,0,0.00
29612,0,0.00
29662,0,0.00
29712,0,0.00
29762,0,0.00
29812,0,0.00
29862,0,0.00
29912,0,0.00
29962,0,0.00
30012,0,0.00
30062,0,0.00
30112,0,0.00
30162,0,0.00
30212,0,0.00
30262,0,0.00
30312,0,0.00
30362,0,0.00
30412,0,0.00
30462,0,0.00
30512,0,0.00
30562,0,0.00
30612,0,0.00
